nome,altura,largura,profundidade,peso,image_url,L_imagem,predict
Cadeira Base em Madeira e Aço Eames  Preto</h1>,82.0,46.0,52.0,3.4,https://product-hub-prd.madeiramadeira.com.br/653172/images/6f6e6538-9e24-42a1-88ef-8613d4d55c43oriotiffany65317211600x600.jpg,240835274,32
Cadeira de Escritório Presidente Fox Office 300 Preta,120.0,53.0,53.0,16.0,https://product-hub-prd.madeiramadeira.com.br/3380593/images/e3727944-69ae-4c8f-858f-1ec98a3c2730fice300preta2995631600x600.jpg,223270777,76
Cadeira Madeira Maciça Linho Rafa Nozes Yescasa Casta,80.0,45.0,50.0,6.0,https://product-hub-prd.madeiramadeira.com.br/818120/images/627af124-5dc5-4abd-8955-9d555c445a17casanozes1667825036196zoom.jpg,1282684107,36
"Cadeira de Escritório Presidente, Base Cromada, Preta",122.0,74.0,50.0,16.6,https://product-hub-prd.madeiramadeira.com.br/2164904/images/378d695e-6231-4fe6-a471-7c68060ce08acdac13c7b19c2477550ff1cade.jpg,1959927682,87
Cadeira para Escritório Ergonômica Presidente Brizza ,121.0,66.2,45.0,15.86,https://product-hub-prd.madeiramadeira.com.br/643093/images/33e7a4c4-b866-432f-ae97-fe397f46fa1fzaplaxmetal64309311600x600.jpg,226405244,0
Cadeira Aço Love CabeCasa MadeiraMadeira Preto/Whisky,80.0,44.0,53.0,4.0,https://product-hub-prd.madeiramadeira.com.br/818412/images/cc4b6894-ac12-4a32-8597-cf68e90c59f7etowhisky1667819606196zoom.jpg,1133322312,35
Cadeira de Escritório Healer Luke Giratória om Base C,97.0,46.0,66.0,7.0,https://product-hub-prd.madeiramadeira.com.br/2344339/images/513d1f20-5653-4128-9b3d-e437daba9d4ab601078986446283761500x500.jpg,163961066,16
Cadeira para Escritório Diretor Tela Mesh Tok 3310 Or,85.0,59.5,49.0,8.5,https://product-hub-prd.madeiramadeira.com.br/709716/images/709716_fundo_1.jpg,2737705771,3
Cadeira para Escritório Presidente Giratória 0030-Msc,117.0,61.0,64.0,11.07,https://product-hub-prd.madeiramadeira.com.br/2164898/images/a994d136-e7ec-4c92-a0df-05c5d12a791abb8907d218d6e8fd39d2772d8b.jpg,943407170,13
Cadeira De Escritorio Com Base Cromada Prizi Essencia,87.0,57.0,68.0,7.0,https://product-hub-prd.madeiramadeira.com.br/231454493/images/cd68a7d8-267a-4613-876b-807c631fcd6e30e33bd3standardresolution.jpg,641443110,63
Cadeira Escritório Giratória Day Presidente Marrom Co,52.0,53.0,81.0,12.0,https://product-hub-prd.madeiramadeira.com.br/850629529/images/6cecc2ca-fa4e-4c94-ab16-7d5a8bdc20adnacional227120200923084842.jpg,293663234,74
Cadeira Cesca Veludo e Palha Natural Yescasa Creme</h,82.0,47.5,65.0,6.5,https://product-hub-prd.madeiramadeira.com.br/839123/images/4a791b6a-c0f9-4802-bb63-01acd51ed047casacreme1680620103200zoom.jpg,1646849695,66
Cadeira de Escritório Diretor Tela Mesh Base Cromada ,91.0,58.0,51.0,8.0,https://i.ytimg.com/vi_webp/xLRhIdekrrw/sddefault.webp,57415049,80
Cadeira Estofada Tiê Maxx CabeCasa MadeiraMadeira Amê,92.5,45.0,54.0,7.0,https://product-hub-prd.madeiramadeira.com.br/734891/images/c8185caa-7c74-4ddc-b1e0-27272888f52dbegeclaro1652823834200zoom.jpg,1428833287,85
Cadeira Escritório Presidente Brizza NR17 Mecanismo R,68.0,51.0,67.0,9.0,https://product-hub-prd.madeiramadeira.com.br/1afda628-f78e-4dc1-b310-950b93396f78.jfif/images/1afda628-f78e-4dc1-b310-950b93396f78.jfif,784258781,39
Cadeira Madeira Maciça Tiê Cabecasa Madeiramadeira Am,93.0,45.0,54.0,6.4,https://i.ytimg.com/vi_webp/dGaFtjqjAEE/sddefault.webp,131570895,71
Cadeira de Escritório Giratória Presidente Big com Mo,123.0,65.0,50.0,12.0,https://product-hub-prd.madeiramadeira.com.br/MLE/images/MLE_FundoBranco_02.png,625161884,12
Cadeira Estofada Tiê CabeCasa MadeiraMadeira Amêndoa/,92.5,45.0,54.0,7.4,https://product-hub-prd.madeiramadeira.com.br/734887/images/6792b997-7b6f-4e69-8eba-92f78018a479begeclaro1652971218200zoom.jpg,1471162038,8
Cadeira Presidente Charles Eames Esteirinha Couro Pu ,113.0,47.0,47.0,7.0,https://product-hub-prd.madeiramadeira.com.br/838970742/images/831cf37d-5c68-4875-9cf1-b6a65228536a150726553761011preta1.jpg,1073321592,5
Cadeira Escritório Presidente Giratória Kopenhagen co,124.0,61.0,63.0,16.5,https://product-hub-prd.madeiramadeira.com.br/814536/images/3b700475-afed-4c01-a7d5-19360474d567madeirado1666187160190zoom.jpg,1521054179,62
Cadeira Office Eiffel Slim Base Giratória Branco</h1>,81.0,47.0,37.0,6.0,https://product-hub-prd.madeiramadeira.com.br/2839859/images/b09f3c5c-6422-42f9-887a-b36bbd2b9f7389720350cadeiraofficeeiffelslimbasegiratoria79080672234061600x600.jpg,270401745,19
Cadeira para Escritório Presidente com NR17 em Tela M,125.0,64.0,64.0,15.0,https://product-hub-prd.madeiramadeira.com.br/811569/images/811569_7.jpg,1091787192,96
Cadeira Ergonômica Executiva Nr17 Back System Escritó,104.0,50.0,47.0,120.0,https://product-hub-prd.madeiramadeira.com.br/3357364/images/270d6a5e-68e8-4405-81df-e4fccca9dbec53992532cadeiraergonomicaexecutivanr17backsystemescritoriopretabackexpto92371600x600.jpg,234605140,89
"Cadeira Gamer TGT Heron TC, Preto e Cinza, TGT-HRTC-B",111.0,111.0,52.0,11.0,https://product-hub-prd.madeiramadeira.com.br/502619720/images/d2736087-79e8-45ee-878d-46c5af016637be5081c4standardresolution.jpg,397223562,14
